Supplier Name,Region,Country,Function,Service,Avg. Cost,Rating,Average Delivery Time,Number of escalations,Year,Resources,Score
Walmart,APAC,China,HR,Telecommunications services,266900,76,313,252,2015,4262,47
Walmart,APAC,Singapore,HR,Telecommunications services,110300,78,186,215,2016,1088,68
Walmart,APAC,Australia,HR,Telecommunications services,496600,89,414,230,2017,6977,32
Walmart,Europe,Switzerland,HR,Telecommunications services,491800,87,438,166,2018,2546,44
Walmart,Europe,France,HR,Telecommunications services,226400,83,305,293,2019,4592,47
Walmart,APAC,China,HR,Telecommunications services,350800,71,99,105,2020,3540,63
Walmart,APAC,Singapore,HR,Software & Programming,446500,90,463,176,2015,8291,33
Walmart,North America,US,HR,Software & Programming,226100,79,325,97,2016,5605,56
Walmart,APAC,India,HR,Software & Programming,106700,81,138,71,2017,7869,67
Walmart,APAC,UAE,HR,Software & Programming,363500,85,104,61,2018,2338,70
Walmart,Europe,Switzerland,HR,Software & Programming,319600,78,472,70,2019,8155,43
Walmart,APAC,UAE,HR,Software & Programming,371500,89,203,269,2020,3371,51
Walmart,APAC,Australia,HR,Semiconductors,334500,90,480,52,2015,7123,48
Walmart,APAC,Australia,HR,Semiconductors,222500,70,220,32,2016,1067,72
Walmart,APAC,South Korea,HR,Semiconductors,189600,87,170,129,2017,6804,61
Walmart,Europe,France,HR,Semiconductors,281500,80,154,135,2018,9938,50
Walmart,Europe,Switzerland,HR,Semiconductors,429500,70,409,67,2019,1802,52
Walmart,Europe,Germany,HR,Semiconductors,493500,71,392,59,2020,6836,41
Walmart,APAC,Singapore,HR,Recreational Products,289400,80,406,291,2015,2348,44
Walmart,APAC,UAE,HR,Recreational Products,465200,86,341,238,2016,8500,32
Walmart,North America,Canada,HR,Recreational Products,407200,83,228,147,2017,7754,46
Walmart,APAC,South Korea,HR,Recreational Products,120700,85,267,109,2018,9316,56
Walmart,APAC,Indonesia,HR,Recreational Products,410200,77,280,217,2019,5401,43
Walmart,APAC,Indonesia,HR,Recreational Products,115100,77,461,221,2020,8439,41
Walmart,Europe,Norway,HR,Internet & Catalog Retail,249200,82,313,234,2015,7842,43
Walmart,APAC,Taiwan,HR,Internet & Catalog Retail,312500,87,318,93,2016,6696,53
Walmart,Europe,Norway,HR,Internet & Catalog Retail,360400,73,338,190,2017,2254,50
Walmart,APAC,Saudi Arabia,HR,Internet & Catalog Retail,253100,78,181,215,2018,3968,56
Walmart,APAC,Taiwan,HR,Internet & Catalog Retail,298200,82,379,59,2019,5705,54
Walmart,APAC,Japan,HR,Internet & Catalog Retail,349700,82,347,91,2020,3413,56
Walmart,APAC,China,HR,Health Care Equipment & Svcs,167900,95,294,55,2015,6834,64
Walmart,APAC,Japan,HR,Health Care Equipment & Svcs,493900,88,246,239,2016,1539,50
Walmart,APAC,South Korea,HR,Health Care Equipment & Svcs,448400,81,248,273,2017,7706,35
Walmart,APAC,India,HR,Health Care Equipment & Svcs,104900,75,204,67,2018,6353,66
Walmart,Europe,Switzerland,HR,Health Care Equipment & Svcs,290200,81,223,46,2019,1679,70
Walmart,APAC,Taiwan,HR,Health Care Equipment & Svcs,111900,72,119,201,2020,7435,57
Walmart,Europe,Germany,HR,Electronics,163700,75,132,153,2015,5296,63
Walmart,APAC,China,HR,Electronics,266300,84,296,209,2016,9971,41
Walmart,North America,Canada,HR,Electronics,165700,70,380,207,2017,6377,46
Walmart,APAC,UAE,HR,Electronics,227100,91,378,146,2018,3392,58
Walmart,APAC,Australia,HR,Electronics,279500,86,372,73,2019,1045,64
Walmart,APAC,Japan,HR,Electronics,281000,83,93,58,2020,6110,66
Walmart,North America,Canada,HR,Electrical Equipment,492900,83,469,85,2015,8451,36
Walmart,APAC,Singapore,HR,Electrical Equipment,146800,82,351,176,2016,9350,46
Walmart,North America,US,HR,Electrical Equipment,159100,72,410,65,2017,5994,55
Walmart,APAC,India,HR,Electrical Equipment,169100,82,202,94,2018,6290,63
Walmart,Europe,Germany,HR,Electrical Equipment,314700,88,177,164,2019,6566,54
Walmart,APAC,Saudi Arabia,HR,Electrical Equipment,299600,90,185,47,2020,1238,74
Walmart,Europe,France,HR,Consumer Financial Services,310400,74,434,72,2015,4446,51
Walmart,APAC,Australia,HR,Consumer Financial Services,201400,78,407,58,2016,3730,60
Walmart,Europe,Norway,HR,Consumer Financial Services,297200,86,418,109,2017,6091,49
Walmart,Europe,Netherlands,HR,Consumer Financial Services,382000,75,325,79,2018,8490,45
Walmart,Europe,Netherlands,HR,Consumer Financial Services,103800,74,161,122,2019,4843,67
Walmart,APAC,Singapore,HR,Consumer Financial Services,174900,94,153,225,2020,5059,61
Walmart,Europe,Netherlands,HR,Computer Services,276200,95,324,58,2015,7952,56
Walmart,Europe,Netherlands,HR,Computer Services,202100,87,276,140,2016,8225,53
Walmart,Europe,Germany,HR,Computer Services,113700,72,160,91,2017,5650,67
Walmart,APAC,UAE,HR,Computer Services,128800,85,105,222,2018,4389,65
Walmart,North America,Canada,HR,Computer Services,415700,77,175,112,2019,1669,61
Walmart,APAC,Taiwan,HR,Computer Services,142000,70,121,272,2020,5411,55
Walmart,APAC,UAE,HR,Computer Hardware,450000,90,110,158,2015,1659,63
Walmart,Europe,Germany,HR,Computer Hardware,416700,94,347,275,2016,6896,37
Walmart,North America,US,HR,Computer Hardware,212400,83,316,259,2017,1068,56
Walmart,Europe,Switzerland,HR,Computer Hardware,359300,95,126,75,2018,3885,68
Walmart,North America,Canada,HR,Computer Hardware,411500,73,233,276,2019,7731,35
Walmart,Europe,Germany,HR,Computer Hardware,386900,74,464,239,2020,7401,30
Walmart,North America,Canada,HR,Communications Equipment,213900,73,102,161,2015,9758,52
Walmart,Europe,Germany,HR,Communications Equipment,136600,78,280,134,2016,1494,67
Walmart,APAC,China,HR,Communications Equipment,101400,86,96,166,2017,7476,64
Walmart,APAC,India,HR,Communications Equipment,203400,85,201,64,2018,4182,69
Walmart,APAC,Japan,HR,Communications Equipment,297700,89,460,189,2019,9861,35
Walmart,Europe,Norway,HR,Communications Equipment,225400,92,127,297,2020,5752,54
Walmart,Europe,Netherlands,HR,Business & Personal Services,241800,71,254,241,2015,2894,53
Walmart,Europe,Norway,HR,Business & Personal Services,276900,88,239,158,2016,7993,51
Walmart,APAC,Taiwan,HR,Business & Personal Services,185400,84,442,181,2017,2817,54
Walmart,Europe,Germany,HR,Business & Personal Services,497200,81,113,38,2018,5268,59
Walmart,Europe,Switzerland,HR,Business & Personal Services,319600,77,436,167,2019,3035,48
Walmart,APAC,Taiwan,HR,Business & Personal Services,230300,71,308,134,2020,7409,49
Walmart,APAC,UAE,HR,Broadcasting & Cable,480100,85,180,175,2015,4322,51
Walmart,North America,Canada,HR,Broadcasting & Cable,462700,78,263,58,2016,6270,51
Walmart,APAC,Saudi Arabia,HR,Broadcasting & Cable,155100,81,236,133,2017,6920,58
Walmart,North America,US,HR,Broadcasting & Cable,449900,90,154,166,2018,6236,51
Walmart,Europe,Germany,HR,Broadcasting & Cable,449300,87,366,185,2019,4661,43
Walmart,APAC,India,HR,Broadcasting & Cable,143100,80,369,86,2020,3770,62
Amazon,APAC,South Korea,HR,Telecommunications services,421100,83,333,61,2015,9736,43
Amazon,APAC,Saudi Arabia,HR,Telecommunications services,285500,80,311,111,2016,4881,55
Amazon,Europe,Germany,HR,Telecommunications services,377500,83,148,296,2017,4232,48
Amazon,APAC,Indonesia,HR,Telecommunications services,128200,90,125,35,2018,3157,80
Amazon,APAC,India,HR,Telecommunications services,314900,70,298,77,2019,6102,52
Amazon,APAC,India,HR,Telecommunications services,351300,78,433,188,2020,4229,43
Amazon,North America,US,HR,Software & Programming,303400,81,155,256,2015,8083,45
Amazon,APAC,UAE,HR,Software & Programming,346000,79,169,281,2016,3600,50
Amazon,North America,Canada,HR,Software & Programming,494200,89,345,159,2017,2095,50
Amazon,APAC,India,HR,Software & Programming,450700,73,453,166,2018,1635,44
Amazon,Europe,Switzerland,HR,Software & Programming,415600,93,366,156,2019,2990,51
Amazon,APAC,Indonesia,HR,Software & Programming,250100,71,213,125,2020,5123,57
Amazon,APAC,India,HR,Semiconductors,428400,76,448,233,2015,1578,42
Amazon,APAC,Taiwan,HR,Semiconductors,158000,81,219,125,2016,9234,55
Amazon,APAC,UAE,HR,Semiconductors,157700,79,429,62,2017,4207,60
Amazon,APAC,Saudi Arabia,HR,Semiconductors,378100,83,266,280,2018,4357,44
Amazon,Europe,Norway,HR,Semiconductors,123700,89,448,180,2019,6404,50
Amazon,APAC,South Korea,HR,Semiconductors,150600,74,240,86,2020,8024,58
Amazon,APAC,South Korea,HR,Recreational Products,292400,73,237,286,2015,9213,36
Amazon,APAC,Indonesia,HR,Recreational Products,342300,91,383,238,2016,8258,37
Amazon,APAC,Singapore,HR,Recreational Products,318600,83,191,169,2017,6323,53
Amazon,APAC,China,HR,Recreational Products,451200,94,462,80,2018,2767,52
Amazon,APAC,Saudi Arabia,HR,Recreational Products,422900,87,342,182,2019,7136,41
Amazon,Europe,Netherlands,HR,Recreational Products,366500,88,433,272,2020,1042,46
Amazon,APAC,Japan,HR,Internet & Catalog Retail,365300,84,247,122,2015,5571,54
Amazon,Europe,Netherlands,HR,Internet & Catalog Retail,228900,93,161,98,2016,2958,71
Amazon,APAC,Singapore,HR,Internet & Catalog Retail,357700,76,279,59,2017,8558,49
Amazon,Europe,Norway,HR,Internet & Catalog Retail,208100,73,115,146,2018,8599,55
Amazon,North America,US,HR,Internet & Catalog Retail,336800,84,453,62,2019,2497,56
Amazon,Europe,Netherlands,HR,Internet & Catalog Retail,426800,86,351,283,2020,4301,39
Amazon,APAC,India,HR,Health Care Equipment & Svcs,389200,87,325,258,2015,2467,47
Amazon,North America,US,HR,Health Care Equipment & Svcs,365400,80,157,116,2016,4608,59
Amazon,North America,Canada,HR,Health Care Equipment & Svcs,483600,78,383,79,2017,5844,44
Amazon,APAC,Singapore,HR,Health Care Equipment & Svcs,197600,73,192,176,2018,2488,63
Amazon,Europe,Germany,HR,Health Care Equipment & Svcs,373000,92,232,292,2019,8716,38
Amazon,North America,Canada,HR,Health Care Equipment & Svcs,119500,75,247,193,2020,7773,52
Amazon,APAC,India,HR,Electronics,433500,75,236,87,2015,5783,51
Amazon,APAC,Taiwan,HR,Electronics,174000,78,254,233,2016,4757,54
Amazon,APAC,Taiwan,HR,Electronics,446300,85,380,67,2017,1433,57
Amazon,Europe,Netherlands,HR,Electronics,473300,90,348,144,2018,7787,40
Amazon,APAC,India,HR,Electronics,468300,94,230,38,2019,1190,67
Amazon,Europe,France,HR,Electronics,368200,74,408,73,2020,7848,43
Amazon,Europe,Norway,HR,Electrical Equipment,119300,78,333,132,2015,5073,59
Amazon,APAC,Saudi Arabia,HR,Electrical Equipment,204400,83,270,243,2016,2215,57
Amazon,APAC,Taiwan,HR,Electrical Equipment,431200,93,472,37,2017,7588,45
Amazon,North America,US,HR,Electrical Equipment,347000,74,222,230,2018,1775,54
Amazon,Europe,Switzerland,HR,Electrical Equipment,121600,76,274,70,2019,1030,73
Amazon,APAC,Singapore,HR,Electrical Equipment,299300,94,447,268,2020,1488,48
Amazon,APAC,Australia,HR,Consumer Financial Services,269400,92,384,43,2015,9873,50
Amazon,APAC,Japan,HR,Consumer Financial Services,381000,92,454,37,2016,9569,44
Amazon,APAC,China,HR,Consumer Financial Services,191500,78,470,111,2017,8840,44
Amazon,North America,US,HR,Consumer Financial Services,244200,85,261,114,2018,7256,55
Amazon,APAC,Indonesia,HR,Consumer Financial Services,492800,70,377,216,2019,3103,39
Amazon,Europe,Norway,HR,Consumer Financial Services,337600,82,286,173,2020,2069,56
Amazon,Europe,Switzerland,HR,Computer Services,338800,84,305,251,2015,3888,47
Amazon,Europe,Norway,HR,Computer Services,336600,82,106,50,2016,4529,67
Amazon,APAC,Japan,HR,Computer Services,156700,88,459,254,2017,1985,52
Amazon,APAC,Indonesia,HR,Computer Services,357700,79,431,268,2018,5596,35
Amazon,Europe,Germany,HR,Computer Services,437900,73,351,96,2019,3181,50
Amazon,Europe,Norway,HR,Computer Services,415800,79,153,269,2020,1477,53
Amazon,North America,Canada,HR,Computer Hardware,421200,72,280,181,2015,9720,35
Amazon,Europe,France,HR,Computer Hardware,200400,76,119,227,2016,3129,62
Amazon,APAC,Saudi Arabia,HR,Computer Hardware,357700,73,470,160,2017,8640,34
Amazon,APAC,Singapore,HR,Computer Hardware,341900,93,372,90,2018,7003,50
Amazon,APAC,Japan,HR,Computer Hardware,317200,75,452,83,2019,1472,56
Amazon,Europe,Norway,HR,Computer Hardware,420300,83,397,208,2020,1635,47
Amazon,APAC,UAE,HR,Communications Equipment,111800,95,131,130,2015,3099,75
Amazon,APAC,India,HR,Communications Equipment,308200,79,415,120,2016,7362,44
Amazon,APAC,Australia,HR,Communications Equipment,308900,89,420,220,2017,1687,51
